Enen+erai-raws+720p,/mm/Enen_no_Shouboutai_S2
black+clover+subsplease+480p,/mm/clover
erai-raws+kamuy+720p,/mm/kamuy
subsplease+one+piece+480p,/mm/one_piece
yashahime+subsplease+480p,/mm/Yashahime
Jujutsu+Kaisen+subsplease+480p,/mm/jujutsu_kaisen
Ikebukuro+erai-raws+720p,/mm/ikebukuro
Noblesse+erai-raws+720p,/mm/noblesse
100-man+erai+720p,/mm/100-man
erai+dungeon+ni+deai+720p,/mm/dungeon/season03
Yahari+Horriblesubs+480p,/mm/yahari
tensei+slime+480p+subsplease,/mm/slime
subsplease+horizon+s3+720p,/mm/log_horizon
dr+stone+subsplease+480p,/mm/dr_stone
